symbol	group	feature	return_type	parameters	julia_wrapper	julia_return_type	julia_parameter_types	abi_version	api_revision
ldict_abi_version	meta		uint32_t		abi_ldict_abi_version	UInt32		1	6
ldict_api_revision	meta		uint32_t		abi_ldict_api_revision	UInt32		1	6
ldict_last_error_message	meta		const char*		abi_ldict_last_error_message	Cstring		1	6
ldict_dynamic_dawg_new	constructor		LdictStatus	unit_domain:uint32_t:input:value;out_dictionary:LdictDictionary**:output:caller-owned-handle	abi_ldict_dynamic_dawg_new	Cint	UInt32;Ref{Ptr{Cvoid}}	1	6
ldict_double_array_trie_new	constructor		LdictStatus	unit_domain:uint32_t:input:value;entries:const LdictTextEntry*:input:call-borrowed;entry_count:size_t:input:value;out_dictionary:LdictDictionary**:output:caller-owned-handle	abi_ldict_double_array_trie_new	Cint	UInt32;Ptr{TextEntry};Csize_t;Ref{Ptr{Cvoid}}	1	6
ldict_scdawg_new	constructor		LdictStatus	unit_domain:uint32_t:input:value;out_dictionary:LdictDictionary**:output:caller-owned-handle	abi_ldict_scdawg_new	Cint	UInt32;Ref{Ptr{Cvoid}}	1	6
ldict_persistent_artrie_create	constructor	persistent-artrie	LdictStatus	unit_domain:uint32_t:input:value;path_data:const uint8_t*:input:call-borrowed;path_len:size_t:input:value;out_dictionary:LdictDictionary**:output:caller-owned-handle	abi_ldict_persistent_artrie_create	Cint	UInt32;Ptr{UInt8};Csize_t;Ref{Ptr{Cvoid}}	1	6
ldict_persistent_artrie_open	constructor	persistent-artrie	LdictStatus	unit_domain:uint32_t:input:value;path_data:const uint8_t*:input:call-borrowed;path_len:size_t:input:value;out_dictionary:LdictDictionary**:output:caller-owned-handle	abi_ldict_persistent_artrie_open	Cint	UInt32;Ptr{UInt8};Csize_t;Ref{Ptr{Cvoid}}	1	6
ldict_persistent_vocab_create	constructor	persistent-artrie	LdictStatus	path_data:const uint8_t*:input:call-borrowed;path_len:size_t:input:value;out_dictionary:LdictDictionary**:output:caller-owned-handle	abi_ldict_persistent_vocab_create	Cint	Ptr{UInt8};Csize_t;Ref{Ptr{Cvoid}}	1	6
ldict_persistent_vocab_open	constructor	persistent-artrie	LdictStatus	path_data:const uint8_t*:input:call-borrowed;path_len:size_t:input:value;out_dictionary:LdictDictionary**:output:caller-owned-handle	abi_ldict_persistent_vocab_open	Cint	Ptr{UInt8};Csize_t;Ref{Ptr{Cvoid}}	1	6
ldict_dictionary_kind	handle		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;out_kind:uint32_t*:output:caller-owned-storage	abi_ldict_dictionary_kind	Cint	Ptr{Cvoid};Ref{UInt32}	1	6
ldict_dictionary_capabilities	handle		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;out_capabilities:uint64_t*:output:caller-owned-storage	abi_ldict_dictionary_capabilities	Cint	Ptr{Cvoid};Ref{UInt64}	1	6
ldict_dictionary_free	handle		void	dictionary:LdictDictionary*:input:consumed-handle	abi_ldict_dictionary_free	Cvoid	Ptr{Cvoid}	1	6
ldict_dictionary_resource	handle		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;out_resource:VtResource*:output:borrowed-retainable-resource	abi_ldict_dictionary_resource	Cint	Ptr{Cvoid};Ref{VTI.VtResourceRaw}	1	6
ldict_dictionary_algebra	algebra		LdictStatus	left:const LdictDictionary*:input:borrowed-handle;right:const LdictDictionary*:input:borrowed-handle;operation:uint32_t:input:value;value_merge:uint32_t:input:value;out_dictionary:LdictDictionary**:output:caller-owned-handle	abi_ldict_dictionary_algebra	Cint	Ptr{Cvoid};Ptr{Cvoid};UInt32;UInt32;Ref{Ptr{Cvoid}}	1	6
ldict_dictionary_entries_open	collection		LdictStatus	dictionary:const LdictDictionary*:input:borrowed-handle;out_cursor:LdictEntryCursor**:output:caller-owned-handle;out_info:LdictEntriesInfo*:output:caller-owned-storage	abi_ldict_dictionary_entries_open	Cint	Ptr{Cvoid};Ref{Ptr{Cvoid}};Ref{VTI.VtDictionaryEntriesInfo}	1	6
