# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=contended arm_select=Both eviction=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count
csv,control,0,1,16000,4.401605,3635.0,0,40,89228.0,164103.6,62.0,87222.3,161760.7,0,438676,223395841,contended,Immediate,198411
csv,treatment,0,1,16000,1.080183,14812.3,0,14,62648.1,176336.1,339.1,2193.0,6649.2,298,604728,49113984,contended,Immediate,185315
csv,treatment,1,1,16000,1.038134,15412.3,0,14,60014.0,178287.2,439.0,1999.5,6439.0,206,719628,47803264,contended,Immediate,183798
csv,control,1,1,16000,4.268963,3748.0,0,40,86413.2,180264.8,57.3,82303.1,161848.2,0,1006076,217872017,contended,Immediate,202468
csv,control,2,0,16000,4.430557,3611.3,0,40,90535.8,166859.7,59.3,85591.9,162293.9,0,1274048,225207690,contended,Immediate,203428
csv,treatment,2,0,16000,1.023586,15631.3,0,14,61133.5,180099.4,456.2,1909.9,6861.3,140,1277400,49376128,contended,Immediate,189852
csv,treatment,3,0,16000,1.064382,15032.2,0,14,60153.3,172620.2,505.4,1886.6,6573.6,98,1275392,48327552,contended,Immediate,182254
csv,control,3,0,16000,3.844019,4162.3,0,40,73506.4,150023.8,61.5,72488.3,144465.7,0,1275392,196725442,contended,Immediate,183667
csv,control,4,0,16000,4.077323,3924.1,0,40,80704.1,155459.1,59.2,81295.4,154845.2,0,1275392,212142795,contended,Immediate,194300
csv,treatment,4,0,16000,0.989817,16164.6,0,13,59757.7,168798.2,464.9,1625.4,6784.0,73,1275392,43871071,contended,Immediate,178323
csv,treatment,5,0,16000,1.003901,15937.8,0,13,60541.9,171351.4,464.3,1706.4,7224.8,60,1275392,44133215,contended,Immediate,177302
csv,control,5,0,16000,4.123413,3880.3,0,40,82125.6,172088.4,58.8,80145.6,160214.4,0,1275392,209245949,contended,Immediate,197152
csv,control,6,0,16000,4.297109,3723.4,0,40,87547.5,173574.3,57.8,82510.3,166027.2,0,1334836,222310849,contended,Immediate,206274
csv,treatment,6,0,16000,1.045191,15308.2,0,14,62404.2,180949.5,482.0,1753.0,6403.8,68,1334836,49900416,contended,Immediate,189594
csv,treatment,7,0,16000,1.019110,15700.0,0,13,58450.5,168061.4,471.7,1411.8,8642.5,4,1334836,44133215,contended,Immediate,173002
csv,control,7,0,16000,4.094481,3907.7,0,40,81845.4,175466.7,59.0,79981.1,158364.6,0,1334836,214205185,contended,Immediate,201783
csv,control,8,0,16000,4.285798,3733.3,0,40,86549.7,165988.0,58.7,83803.0,161615.1,0,1406040,217622232,contended,Immediate,199823
csv,treatment,8,0,16000,1.058251,15119.3,0,14,55587.9,167289.9,479.8,1998.8,7676.4,113,1404348,46754688,contended,Immediate,173395
csv,treatment,9,0,16000,1.019779,15689.7,0,14,57954.9,173839.8,468.5,1919.5,6706.8,109,1404348,49113984,contended,Immediate,182765
csv,control,9,0,16000,4.264067,3752.3,0,40,86622.0,176484.3,57.1,79242.7,162193.8,0,1496712,220218057,contended,Immediate,205328
csv,control,10,0,16000,4.389081,3645.4,0,40,89984.2,175215.8,58.1,82260.8,161176.9,0,1496712,226499731,contended,Immediate,207437
csv,treatment,10,0,16000,1.108683,14431.5,0,15,68430.8,202461.1,348.1,2364.0,6866.4,206,1496712,58813345,contended,Immediate,208205
csv,treatment,11,0,16000,1.054271,15176.4,0,14,65662.5,194288.3,508.9,1746.6,7133.4,64,1496712,51211136,contended,Immediate,195221
csv,control,11,0,16000,4.231284,3781.4,0,40,85258.8,165318.6,58.1,81627.9,161563.6,0,1541064,214472092,contended,Immediate,200763
csv,treatment,12,0,16000,1.050451,15231.6,0,14,56001.2,166588.3,490.2,1975.8,6655.7,135,1541064,47541120,contended,Immediate,176340
csv,control,12,0,16000,4.112431,3890.6,0,40,81328.2,158276.5,59.2,83368.8,158229.4,0,1541064,208739879,contended,Immediate,193210
csv,treatment,13,0,16000,1.013571,15785.8,0,13,63108.7,173495.8,478.6,1561.4,6627.5,34,1541064,46754655,contended,Immediate,182270
csv,control,13,0,16000,4.183945,3824.1,0,40,83339.5,160407.7,60.4,83791.9,159308.5,0,1541064,211879483,contended,Immediate,194544
csv,treatment,14,0,16000,1.102307,14515.0,0,14,59541.7,168487.3,480.7,2154.1,6508.3,207,1541064,47803264,contended,Immediate,175748
csv,control,14,0,16000,4.166282,3840.4,0,40,83040.3,164897.9,59.6,82082.6,165019.5,0,1541064,208203344,contended,Immediate,195851
csv,treatment,15,0,16000,1.113418,14370.2,0,15,62436.5,183818.3,484.5,2320.4,7384.2,162,1541064,53570465,contended,Immediate,192830
csv,control,15,0,16000,4.155618,3850.2,0,40,82165.0,171643.4,62.0,82720.3,153417.1,0,1541064,209008377,contended,Immediate,191865
csv,control,16,0,16000,4.130590,3873.5,0,40,82209.1,161291.7,59.9,78831.7,157771.2,0,1541064,210559030,contended,Immediate,196650
csv,treatment,16,0,16000,1.024304,15620.4,0,14,57433.2,171161.8,478.9,1797.8,6405.3,78,1541064,47541120,contended,Immediate,180459
csv,control,17,0,16000,4.212875,3797.9,0,40,84036.8,169189.7,60.4,83933.3,161312.5,0,1541064,210044225,contended,Immediate,194606
csv,treatment,17,0,16000,1.109241,14424.3,0,14,65517.3,188764.0,489.1,2471.2,7522.2,89,1541064,49376128,contended,Immediate,185480
csv,control,18,0,16000,4.373849,3658.1,0,40,88830.7,178215.5,57.6,80715.6,170396.9,0,1541064,219972993,contended,Immediate,201658
csv,treatment,18,0,16000,1.121253,14269.8,0,14,73476.6,226348.6,493.0,2875.8,9511.7,84,1541064,54094720,contended,Immediate,202726
csv,treatment,19,0,16000,1.163368,13753.2,0,15,65200.9,190842.7,381.1,3314.3,7216.7,161,1541064,53308321,contended,Immediate,195603
csv,control,19,0,16000,4.463776,3584.4,0,40,91826.9,179438.8,58.8,83170.0,168907.1,0,1541064,224665600,contended,Immediate,207260
csv,treatment,20,0,16000,1.048003,15267.1,0,14,68484.3,201770.0,486.2,1641.3,7040.5,26,1541064,53308288,contended,Immediate,202934
csv,control,20,0,16000,4.104515,3898.1,0,40,82020.1,173920.6,59.6,78040.3,158324.3,0,1541064,211590748,contended,Immediate,200276
csv,control,21,0,16000,4.228960,3783.4,0,40,84541.6,166400.9,59.7,81485.0,164161.0,0,1541064,213711185,contended,Immediate,195247
csv,treatment,21,0,16000,1.021462,15663.8,0,14,57383.7,169868.6,471.1,1798.6,6099.1,71,1541064,48327552,contended,Immediate,181283
