# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=disjoint arm_select=Both eviction=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count
csv,control,0,1,16000,6.102874,2621.7,7995,40,131523.2,285243.4,64.7,124091.1,270014.3,0,605484,309645902,disjoint,Immediate,292916
csv,treatment,0,1,16000,0.975051,16409.4,15539578,11,95287.8,317636.7,329.4,2151.8,6022.9,725,788180,55363269,disjoint,Immediate,298250
csv,treatment,1,1,16000,0.889289,17991.9,14301553,10,77966.8,273958.8,316.0,1954.8,4860.6,176,936676,40683172,disjoint,Immediate,238294
csv,control,1,1,16000,6.182095,2588.1,7995,40,133649.9,283058.1,60.9,124289.0,263769.0,0,1352640,320392723,disjoint,Immediate,293528
csv,control,2,0,16000,6.273630,2550.4,7996,40,136975.1,276315.0,57.1,126709.3,273473.1,0,1690960,329265304,disjoint,Immediate,307143
csv,treatment,2,0,16000,0.887149,18035.3,14162540,10,85699.9,299846.2,327.6,1729.0,4913.0,157,1690960,43566756,disjoint,Immediate,259478
csv,treatment,3,0,16000,0.842409,18993.1,13857167,10,88808.0,309004.6,299.1,1891.7,5514.7,82,1690960,46974628,disjoint,Immediate,281154
csv,control,3,0,16000,6.044471,2647.0,7988,40,130736.5,280368.2,57.3,123916.2,266204.0,0,1690960,322468538,disjoint,Immediate,300710
csv,control,4,0,16000,6.489545,2465.5,7878,40,142267.3,286611.8,58.4,134011.2,276593.2,0,1690960,334249260,disjoint,Immediate,305959
csv,treatment,4,0,16000,0.942511,16975.9,15459481,10,80891.5,264033.6,334.3,2017.1,5657.0,366,1690960,41993892,disjoint,Immediate,237488
csv,treatment,5,0,16000,0.853602,18744.1,13641821,10,79037.8,283064.8,309.7,1845.7,5855.7,83,1690960,43828900,disjoint,Immediate,250604
csv,control,5,0,16000,6.334493,2525.9,7999,40,137805.4,287601.7,58.7,126631.2,277157.5,0,1690960,319068207,disjoint,Immediate,298043
csv,control,6,0,16000,5.992459,2670.0,7985,40,128958.1,270345.5,59.1,123153.5,268139.9,0,1821848,310953110,disjoint,Immediate,294108
csv,treatment,6,0,16000,0.942314,16979.5,15861347,10,82859.1,282245.6,334.2,2235.9,6227.9,338,1930132,42518180,disjoint,Immediate,235570
csv,treatment,7,0,16000,0.903704,17704.9,15037273,11,90121.2,321041.8,313.4,2071.3,5453.2,356,1929328,54052549,disjoint,Immediate,301098
csv,control,7,0,16000,6.239991,2564.1,7992,40,135196.3,286608.2,60.0,121414.2,280545.2,0,1929328,318013264,disjoint,Immediate,300331
csv,control,8,0,16000,5.917943,2703.6,7993,40,126425.9,273682.4,59.1,127841.9,268083.8,0,1929328,303637532,disjoint,Immediate,285911
csv,treatment,8,0,16000,0.874334,18299.6,14544146,10,84745.4,285733.6,325.6,1928.1,6770.0,120,1929328,44877476,disjoint,Immediate,263271
csv,treatment,9,0,16000,0.969782,16498.6,15117841,11,99598.3,338689.7,346.5,1982.6,5680.6,404,1929328,56673989,disjoint,Immediate,307379
csv,control,9,0,16000,6.428952,2488.7,7942,40,140322.8,290662.6,57.5,129852.2,283091.1,0,1929328,330858464,disjoint,Immediate,300203
csv,control,10,0,16000,6.037937,2649.9,7998,40,129630.1,275780.5,60.6,120905.2,265527.7,0,2104792,309921168,disjoint,Immediate,288572
csv,treatment,10,0,16000,0.845327,18927.6,14057296,10,94805.1,323229.4,289.4,1923.8,5472.2,55,2104792,49858212,disjoint,Immediate,296846
csv,treatment,11,0,16000,0.946785,16899.3,16425055,10,84685.9,276027.1,335.5,2109.5,6161.1,387,2104792,44353188,disjoint,Immediate,247060
