# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=disjoint arm_select=Control eviction=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count
csv,control,0,1,16000,5.853591,2733.4,7998,40,123539.8,261013.5,63.2,127658.0,259274.6,0,574316,289524188,disjoint,Immediate,271408
csv,control,1,1,16000,6.302298,2538.8,7981,40,137148.3,293010.9,60.0,127135.9,276078.8,0,630348,323516811,disjoint,Immediate,300832
csv,control,2,0,16000,6.135379,2607.8,7992,40,132107.4,275735.7,57.9,122984.4,274840.4,0,1000452,310704690,disjoint,Immediate,289664
csv,control,3,0,16000,6.276932,2549.0,8000,40,136553.7,283087.9,58.4,126140.5,276210.2,0,1377520,319059512,disjoint,Immediate,300972
csv,control,4,0,16000,6.401085,2499.6,8000,39,144270.6,299290.9,57.9,126391.2,279635.4,0,1718976,324545424,disjoint,Immediate,307581
csv,control,5,0,16000,5.986918,2672.5,7994,38,137730.6,299222.8,58.2,111481.9,284123.2,0,2063640,301999797,disjoint,Immediate,307876
csv,control,6,0,16000,6.318385,2532.3,7993,40,138211.3,297078.0,56.9,114946.5,279797.4,0,2063912,327949158,disjoint,Immediate,308929
csv,control,7,0,16000,6.135066,2608.0,7986,40,133266.3,292569.6,58.3,121774.8,278727.2,0,2069348,323244474,disjoint,Immediate,304088
csv,control,8,0,16000,6.384481,2506.1,25999,40,139201.2,286005.4,56.9,128249.2,279482.2,0,2399084,325611683,disjoint,Immediate,301456
csv,control,9,0,16000,6.481453,2468.6,7994,40,141877.4,293086.8,57.8,137009.4,279786.9,0,2596340,329004836,disjoint,Immediate,306472
csv,control,10,0,16000,5.956738,2686.0,7996,40,127243.6,276871.0,61.5,124878.6,268947.3,0,2596340,297876721,disjoint,Immediate,283569
csv,control,11,0,16000,6.292232,2542.8,7888,40,136498.4,285513.2,58.0,131368.4,280477.5,0,2596340,325631481,disjoint,Immediate,294876
csv,control,12,0,16000,6.284470,2546.0,7998,40,136692.1,294532.1,58.8,126707.2,276996.6,0,2596340,328762101,disjoint,Immediate,299798
csv,control,13,0,16000,6.376999,2509.0,7999,40,139236.0,297378.9,59.8,127685.6,280216.9,0,2596340,329275888,disjoint,Immediate,303589
csv,control,14,0,16000,6.085022,2629.4,7827,40,131339.4,287447.9,58.6,123079.3,281100.7,0,2596340,312261237,disjoint,Immediate,295039
csv,control,15,0,16000,6.244216,2562.4,7999,40,135448.6,288641.5,57.3,127674.1,267400.5,0,2596340,319069566,disjoint,Immediate,297769
csv,control,16,0,16000,6.804038,2351.5,55994,40,150215.6,342513.9,57.1,119072.3,292882.3,0,2596340,332668106,disjoint,Immediate,308794
csv,control,17,0,16000,6.615950,2418.4,7970,40,144909.6,325458.7,57.3,132381.9,304992.1,0,2596340,319589947,disjoint,Immediate,298939
csv,control,18,0,16000,6.441773,2483.8,23994,40,139864.1,289275.4,58.3,136075.3,285656.1,0,2596340,310172315,disjoint,Immediate,292353
csv,control,19,0,16000,6.341792,2522.9,7998,40,138213.0,292941.9,58.2,132019.1,282160.6,0,2596340,319845351,disjoint,Immediate,301109
csv,control,20,0,16000,6.338172,2524.4,7998,40,138716.2,304224.9,58.4,122735.0,279836.1,0,2596340,328211216,disjoint,Immediate,308978
csv,control,21,0,16000,6.085677,2629.1,11993,40,130924.3,278836.7,59.7,124466.1,267652.1,0,2852516,311482915,disjoint,Immediate,292134
csv,control,22,0,16000,5.970543,2679.8,31997,40,127387.0,284731.6,59.2,126673.5,264437.7,0,3178396,301289388,disjoint,Immediate,282098
csv,control,23,0,16000,6.219847,2572.4,7992,40,135588.5,290340.6,59.1,118295.4,275904.5,0,3178396,324808829,disjoint,Immediate,307017
csv,control,24,0,16000,6.415202,2494.1,7998,40,139184.9,276385.3,59.3,132745.5,274566.0,0,3178396,325375899,disjoint,Immediate,292735
csv,control,25,0,16000,6.740537,2373.7,7992,40,148477.8,303394.3,61.8,132633.2,281907.0,0,3178396,341065038,disjoint,Immediate,306048
csv,control,26,0,16000,6.321872,2530.9,103989,40,136967.2,290365.3,59.0,128626.9,290592.5,0,3178396,315396504,disjoint,Immediate,298658
csv,control,27,0,16000,6.200605,2580.4,7960,40,133961.6,271321.8,58.5,124200.2,272761.7,0,3178396,315154026,disjoint,Immediate,291731
csv,control,28,0,16000,6.245901,2561.7,7909,40,135704.8,282526.1,58.2,127295.0,275741.5,0,3178396,321685039,disjoint,Immediate,299668
csv,control,29,0,16000,5.682090,2815.9,31988,40,120234.9,267029.8,58.9,115464.2,262018.2,0,3178396,299974502,disjoint,Immediate,283468
csv,control,30,0,16000,6.068820,2636.4,7999,40,131237.4,288267.2,59.3,118919.0,270572.3,0,3178396,318277289,disjoint,Immediate,299502
csv,control,31,0,16000,6.439749,2484.6,19998,40,141084.6,296328.7,58.8,125133.6,279241.9,0,3178396,326117504,disjoint,Immediate,307850
# MEASURED RUN COMPLETE
