# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=disjoint arm_select=Treatment eviction=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count
csv,treatment,0,1,16000,1.057174,15134.7,18309908,11,90272.9,298648.5,313.3,4173.0,8002.3,104,351828,49596101,disjoint,Immediate,260123
csv,treatment,1,1,16000,0.968051,16528.1,15562821,11,99883.3,346368.1,316.4,1975.9,7200.5,552,547872,56411845,disjoint,Immediate,306403
csv,treatment,2,0,16000,0.859594,18613.4,13401560,10,85754.8,289080.6,297.6,2005.8,5997.7,75,701248,45663908,disjoint,Immediate,270339
csv,treatment,3,0,16000,0.864453,18508.8,14244773,10,92241.8,313455.8,298.3,2046.7,7178.9,60,862920,48285348,disjoint,Immediate,284789
csv,treatment,4,0,16000,0.856301,18685.0,13398252,10,93304.6,323942.7,287.8,2109.1,6754.3,91,1024944,48809636,disjoint,Immediate,289189
csv,treatment,5,0,16000,0.868178,18429.4,13457602,10,95568.2,318732.7,305.9,1902.5,6493.2,86,1126492,50382500,disjoint,Immediate,294854
csv,treatment,6,0,16000,0.868755,18417.2,13662190,10,86787.0,298558.9,303.0,2109.0,6233.5,67,1229392,46188196,disjoint,Immediate,268722
csv,treatment,7,0,16000,0.961817,16635.2,16193043,11,80421.7,286755.3,325.7,2157.6,7989.2,370,1229392,48023237,disjoint,Immediate,256846
csv,treatment,8,0,16000,0.982344,16287.6,16066632,11,89663.9,310630.0,335.2,2141.0,7902.4,461,1229392,52479685,disjoint,Immediate,276407
csv,treatment,9,0,16000,0.931006,17185.7,14495853,10,81326.0,277515.1,330.7,2118.7,6041.1,323,1229392,42256036,disjoint,Immediate,235633
csv,treatment,10,0,16000,0.884457,18090.2,13892851,10,80354.2,280738.4,317.1,1937.6,6499.4,214,1229392,41993892,disjoint,Immediate,241070
csv,treatment,11,0,16000,0.924543,17305.8,14982494,11,92144.0,332712.7,313.5,2232.0,7692.8,250,1229392,54314693,disjoint,Immediate,296166
csv,treatment,12,0,16000,0.862074,18559.9,13701387,10,87551.9,300291.4,288.9,2199.4,6758.4,79,1229392,46188196,disjoint,Immediate,272623
csv,treatment,13,0,16000,0.882774,18124.7,14287269,10,80579.5,272028.0,306.6,2131.2,6686.5,76,1229392,43828900,disjoint,Immediate,249089
csv,treatment,14,0,16000,0.858287,18641.8,13843920,10,74074.3,256168.7,294.1,2052.3,5785.2,101,1229392,41207460,disjoint,Immediate,237882
csv,treatment,15,0,16000,0.915274,17481.1,15312891,10,80011.7,268452.0,313.8,2160.3,6358.8,182,1229392,41731748,disjoint,Immediate,236242
csv,treatment,16,0,16000,0.909618,17589.8,14229918,11,92087.4,340298.7,368.9,1855.2,7523.9,145,1229392,55101125,disjoint,Immediate,298323
csv,treatment,17,0,16000,0.846050,18911.4,13527206,9,85385.9,282091.1,310.6,1674.1,6514.1,39,1229392,39372419,disjoint,Immediate,238068
csv,treatment,18,0,16000,0.866343,18468.4,14566462,10,81387.1,291413.4,300.2,2039.3,6893.9,72,1229392,43566756,disjoint,Immediate,249352
csv,treatment,19,0,16000,0.912755,17529.3,14740811,10,71254.9,238371.0,308.6,2103.5,6884.2,144,1229392,40158884,disjoint,Immediate,224713
csv,treatment,20,0,16000,0.872748,18332.9,13690639,10,91436.2,304028.7,309.8,1715.5,7049.2,35,1229392,49333924,disjoint,Immediate,284319
csv,treatment,21,0,16000,0.928631,17229.7,14830958,10,76623.6,247577.5,331.1,2045.0,5856.8,215,1229392,40158884,disjoint,Immediate,225231
csv,treatment,22,0,16000,0.892924,17918.7,13812979,10,74420.6,258792.3,332.1,1805.9,5829.1,107,1229392,40421028,disjoint,Immediate,229492
csv,treatment,23,0,16000,0.867705,18439.5,13849611,10,82286.7,281212.8,301.9,2021.0,5826.7,85,1229392,44091044,disjoint,Immediate,256100
csv,treatment,24,0,16000,0.906658,17647.2,14656966,10,80156.6,274511.7,320.8,2157.2,5677.4,187,1229392,42256036,disjoint,Immediate,243057
csv,treatment,25,0,16000,0.881636,18148.1,14197804,10,77073.5,272995.5,311.1,1951.1,5832.8,110,1229392,41207460,disjoint,Immediate,235973
csv,treatment,26,0,16000,0.918197,17425.4,14669773,11,91996.2,334065.7,321.8,2060.4,7344.5,80,1229392,54576837,disjoint,Immediate,298118
csv,treatment,27,0,16000,0.918896,17412.2,15034338,11,95678.9,341963.0,331.7,1916.8,6496.0,170,1239988,55625413,disjoint,Immediate,308612
csv,treatment,28,0,16000,0.936439,17086.0,14881660,10,80837.8,272739.8,330.2,1980.9,5476.6,330,1318888,42256036,disjoint,Immediate,236354
csv,treatment,29,0,16000,0.956934,16720.1,15434409,11,92904.1,327939.2,329.2,2300.4,7573.7,221,1318012,54838981,disjoint,Immediate,290528
csv,treatment,30,0,16000,0.880439,18172.7,13889529,10,84261.5,298529.1,291.6,2172.6,6381.5,71,1318012,44091044,disjoint,Immediate,254771
csv,treatment,31,0,16000,0.885465,18069.6,14417708,10,84779.0,297598.3,308.5,1943.3,6652.8,89,1318012,44877476,disjoint,Immediate,256444
# MEASURED RUN COMPLETE
