# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=contended arm_select=Both eviction=true evict_real=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count,overlay_reclaimed_nodes,evict_bytes_nominal,faultin_count
csv,control,0,1,16000,6.879354,2325.8,0,37,162167.5,281488.0,63.7,141523.4,261866.6,0,684240,364397427,contended,Immediate,284002,0,0,0
csv,treatment,0,1,16000,1.079778,14817.9,0,7,168721.8,299974.3,327.2,2038.6,9458.7,170,831072,65300570,contended,Immediate,270747,70,17920,0
csv,treatment,1,1,16000,1.106238,14463.4,0,7,168208.0,297334.4,348.5,2228.5,10461.9,200,1006952,65824858,contended,Immediate,266659,82,20992,0
csv,control,1,1,16000,6.619247,2417.2,0,37,155678.6,259832.1,58.1,141822.8,256447.6,0,1302500,362042610,contended,Immediate,283034,0,0,0
csv,control,2,0,16000,6.315408,2533.5,0,35,157449.6,258561.2,58.1,129324.6,249634.1,0,1712384,345255437,contended,Immediate,285167,0,0,0
csv,treatment,2,0,16000,1.146822,13951.6,0,7,167661.0,289595.5,356.4,2170.0,14633.6,190,1712384,64514138,contended,Immediate,259460,87,22272,0
csv,treatment,3,0,16000,1.093447,14632.6,0,7,151964.1,275478.2,341.4,2056.6,10738.5,171,1712384,62154842,contended,Immediate,250491,93,23808,0
csv,control,3,0,16000,6.531719,2449.6,0,37,153859.0,282438.9,58.6,137547.6,242117.2,0,1712384,367794221,contended,Immediate,286375,0,0,0
csv,control,4,0,16000,6.130242,2610.0,0,33,160745.0,265880.7,59.3,135453.1,253499.9,0,1820984,332938910,contended,Immediate,284257,0,0,0
csv,treatment,4,0,16000,1.102962,14506.4,0,7,166051.7,291509.1,396.0,2129.6,12818.2,140,1820984,64776282,contended,Immediate,264688,84,21504,0
csv,treatment,5,0,16000,1.108417,14435.0,0,7,163576.0,301646.0,413.8,1823.1,9880.1,103,1820984,63727706,contended,Immediate,258473,77,19712,0
csv,control,5,0,16000,6.647185,2407.0,0,37,156743.1,258676.0,59.2,132861.4,247926.1,0,1820984,370154405,contended,Immediate,286195,0,0,0
csv,control,6,0,16000,6.253325,2558.6,0,34,160036.3,285860.7,56.8,124185.0,245189.2,0,2034792,339221117,contended,Immediate,286259,0,0,0
csv,treatment,6,0,16000,1.055805,15154.3,0,7,165188.7,293113.0,378.7,2003.9,11427.5,104,2034792,66087002,contended,Immediate,272326,81,20736,0
csv,treatment,7,0,16000,1.053493,15187.6,0,7,158837.6,289650.1,340.9,2164.0,11199.7,85,2034792,63465562,contended,Immediate,263765,80,20480,0
csv,control,7,0,16000,6.234836,2566.2,0,34,159842.8,287311.1,57.9,128894.9,261786.7,0,2034792,330314288,contended,Immediate,284942,0,0,0
csv,control,8,0,16000,7.211246,2218.8,0,39,161960.3,277513.7,61.3,151259.1,258435.3,0,2343280,389546283,contended,Immediate,287651,0,0,0
csv,treatment,8,0,16000,0.953026,16788.6,0,6,152760.1,274806.3,429.0,1466.5,7970.1,68,2343280,52979769,contended,Immediate,240709,85,21760,0
csv,treatment,9,0,16000,0.933888,17132.7,0,6,150004.1,271231.7,346.3,1674.6,9176.6,134,2343280,52979769,contended,Immediate,240342,78,19968,0
csv,control,9,0,16000,6.627419,2414.2,0,37,156300.3,261581.9,59.7,137774.5,247610.8,0,2344328,365692478,contended,Immediate,287373,0,0,0
csv,control,10,0,16000,6.426570,2489.7,0,34,164412.1,279491.3,59.0,139391.7,257670.6,0,2682956,338695421,contended,Immediate,286550,0,0,0
csv,treatment,10,0,16000,1.052581,15200.7,0,7,163018.9,293344.5,350.8,2038.4,9098.0,66,2682956,64514138,contended,Immediate,269104,76,19456,0
csv,treatment,11,0,16000,1.066763,14998.6,0,7,165350.8,290820.9,354.0,2138.4,10166.8,116,2682956,65300570,contended,Immediate,270040,76,19456,0
csv,control,11,0,16000,6.978317,2292.8,0,38,160996.8,262514.6,58.2,155638.4,260079.4,0,2682956,376447275,contended,Immediate,285891,0,0,0
csv,treatment,12,0,16000,1.080618,14806.3,0,7,162587.0,300190.8,343.1,2140.8,12304.2,151,2682956,63989850,contended,Immediate,262304,75,19200,0
csv,control,12,0,16000,6.738061,2374.6,0,37,159622.8,259646.9,59.9,133270.2,246869.6,0,2682956,369628940,contended,Immediate,286439,0,0,0
csv,treatment,13,0,16000,1.178187,13580.2,0,8,157760.3,274522.7,383.0,2387.5,15494.1,201,2682956,74737787,contended,Immediate,277890,78,19968,0
csv,control,13,0,16000,6.593674,2426.6,0,36,159223.8,254575.4,58.8,136558.3,251856.7,0,2682956,360975831,contended,Immediate,286957,0,0,0
csv,treatment,14,0,16000,1.119673,14289.9,0,7,160933.8,279784.5,349.6,2295.1,9208.1,179,2682956,63727706,contended,Immediate,257656,92,23552,0
csv,control,14,0,16000,6.509949,2457.8,0,37,152698.4,258989.9,58.1,141956.4,253851.8,0,2682956,360465160,contended,Immediate,284015,0,0,0
csv,treatment,15,0,16000,1.116037,14336.4,0,7,160017.0,285937.0,438.9,2166.1,10795.0,142,2682956,63465562,contended,Immediate,254221,78,19968,0
csv,control,15,0,16000,6.468262,2473.6,0,35,161505.7,262056.4,58.6,140316.8,252814.2,0,2682956,352587631,contended,Immediate,286863,0,0,0
csv,control,16,0,16000,6.469339,2473.2,0,35,161322.3,255773.4,57.1,137653.5,249532.3,0,2682956,354419519,contended,Immediate,287535,0,0,0
csv,treatment,16,0,16000,1.118992,14298.6,0,7,147695.1,251989.2,364.7,2169.2,11383.6,228,2682956,61630554,contended,Immediate,245615,87,22272,0
csv,control,17,0,16000,7.233302,2212.0,0,39,163326.6,267739.7,60.5,149575.4,255456.0,0,2682956,390597454,contended,Immediate,287090,0,0,0
csv,treatment,17,0,16000,1.095330,14607.5,0,7,164052.5,289030.9,360.2,2234.8,9378.0,159,2682956,63989850,contended,Immediate,262571,78,19968,0
csv,control,18,0,16000,5.936210,2695.3,0,32,159950.6,255240.1,59.6,128692.5,248091.8,0,2682956,319042450,contended,Immediate,284876,0,0,0
csv,treatment,18,0,16000,1.100897,14533.6,0,7,163619.5,288027.8,468.4,1901.4,13703.6,107,2682956,64514138,contended,Immediate,262769,85,21760,0
csv,treatment,19,0,16000,1.063991,15037.7,0,7,168114.0,311270.3,382.0,1891.8,14601.4,92,2682956,65300570,contended,Immediate,270931,69,17664,0
csv,control,19,0,16000,6.331146,2527.2,0,35,157320.0,255107.4,57.9,132167.9,248230.9,0,2682956,349197144,contended,Immediate,283115,0,0,0
csv,treatment,20,0,16000,1.083134,14771.9,0,7,179554.7,305497.3,343.5,2128.9,11858.8,87,2682956,68184154,contended,Immediate,285074,76,19456,0
csv,control,20,0,16000,6.651108,2405.6,0,37,156947.3,269106.3,59.4,138594.4,256967.7,0,2682956,367279126,contended,Immediate,284416,0,0,0
csv,control,21,0,16000,6.311355,2535.1,0,36,151658.6,255410.2,59.6,138785.8,240147.4,0,2682956,347087031,contended,Immediate,285911,0,0,0
csv,treatment,21,0,16000,1.096641,14590.0,0,7,150872.9,268265.8,515.6,1761.2,12609.4,75,2682956,62154842,contended,Immediate,249261,84,21504,0
csv,control,22,0,16000,6.822224,2345.3,0,37,160473.8,270690.2,61.7,147243.6,257354.8,0,2682956,366493931,contended,Immediate,284143,0,0,0
csv,treatment,22,0,16000,1.041642,15360.4,0,7,167907.4,301813.6,449.7,1786.5,11203.3,92,2682956,65824858,contended,Immediate,277217,83,21248,0
csv,treatment,23,0,16000,1.145913,13962.7,0,7,152081.3,269648.5,361.1,2224.6,13704.0,178,2682956,61106266,contended,Immediate,242660,78,19968,0
csv,control,23,0,16000,6.649291,2406.3,0,37,156555.8,262372.7,59.0,134900.8,251570.3,0,2682956,364661583,contended,Immediate,283567,0,0,0
csv,treatment,24,0,16000,1.063311,15047.3,0,7,164015.5,300908.6,340.2,2221.0,9524.5,93,2682956,64251994,contended,Immediate,266501,77,19712,0
csv,control,24,0,16000,6.701086,2387.7,0,37,158665.7,261319.8,58.9,141075.8,246684.6,0,2682956,369626993,contended,Immediate,286869,0,0,0
csv,control,25,0,16000,6.726881,2378.5,0,37,157768.1,264686.8,59.3,137680.3,252233.5,0,2997612,364393485,contended,Immediate,284838,0,0,0
csv,treatment,25,0,16000,1.144993,13973.9,0,7,163202.5,284937.8,340.3,2424.1,16283.8,143,2997612,63465562,contended,Immediate,255191,81,20736,0
csv,control,26,0,16000,6.733417,2376.2,0,36,163542.5,267370.8,56.4,147114.9,255509.7,0,2997612,365702786,contended,Immediate,285154,0,0,0
csv,treatment,26,0,16000,1.032447,15497.2,0,7,157079.9,290047.7,423.8,1986.2,10773.3,45,2997612,63989850,contended,Immediate,265770,84,21504,0
csv,control,27,0,16000,6.884295,2324.1,0,38,158318.8,262289.6,60.6,142853.1,248414.5,0,2997612,378015605,contended,Immediate,286859,0,0,0
csv,treatment,27,0,16000,1.066895,14996.8,0,7,158034.3,292927.6,489.8,1696.6,15038.1,97,2997612,63727706,contended,Immediate,259952,80,20480,0
csv,control,28,0,16000,7.050976,2269.2,0,38,163217.9,267746.0,60.9,145172.7,262603.9,0,2997612,378277683,contended,Immediate,286883,0,0,0
csv,treatment,28,0,16000,1.074755,14887.1,0,7,162994.5,309417.6,344.0,2163.5,12797.3,142,2997612,63989850,contended,Immediate,260907,74,18944,0
csv,treatment,29,0,16000,1.099236,14555.6,0,7,164487.3,298597.4,358.3,2187.9,9435.1,184,2997612,63989850,contended,Immediate,259618,89,22784,0
csv,control,29,0,16000,6.057665,2641.3,0,33,159737.1,265703.5,57.1,127630.8,253330.9,0,2997612,328470860,contended,Immediate,286760,0,0,0
csv,treatment,30,0,16000,1.078699,14832.7,0,7,165711.8,296586.3,465.2,1726.7,13736.0,81,2997612,64514138,contended,Immediate,268401,82,20992,0
csv,control,30,0,16000,6.979910,2292.3,0,39,155498.6,259973.5,61.0,146613.5,249062.2,0,2997612,390340026,contended,Immediate,286072,0,0,0
csv,control,31,0,16000,6.080088,2631.5,0,34,154614.7,263330.3,57.9,129535.5,245289.6,0,2997612,332936790,contended,Immediate,284714,0,0,0
csv,treatment,31,0,16000,1.124629,14226.9,0,7,159708.1,279067.4,355.5,2185.6,12645.9,170,2997612,63465562,contended,Immediate,255030,75,19200,0
# MEASURED RUN COMPLETE
