# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=2 variant=disjoint arm_select=Both eviction=true evict_real=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count,overlay_reclaimed_nodes,evict_bytes_nominal,faultin_count
csv,control,0,1,16000,9.118889,1754.6,13998,40,204001.4,349433.0,66.7,183295.1,333164.4,0,815568,491021940,disjoint,Immediate,380981,0,0,0
csv,treatment,0,1,16000,0.989914,16163.0,18563262,6,202394.2,383739.8,329.4,2255.7,7985.4,746,1030336,68666337,disjoint,Immediate,371030,47,12032,0
csv,treatment,1,1,16000,0.944833,16934.2,15329892,5,170295.5,306704.3,319.3,2362.3,8152.3,234,1116580,50316224,disjoint,Immediate,287016,0,0,0
csv,control,1,1,16000,7.329255,2183.0,3624546,40,100316.0,160058.9,477.9,106069.1,141026.0,0,1395300,259178252,disjoint,Immediate,148409,0,0,0
csv,control,2,0,16000,6.684720,2393.5,3172285,40,81514.5,129667.3,503.0,86229.2,123071.6,0,1392980,225680059,disjoint,Immediate,128752,0,0,0
csv,treatment,2,0,16000,1.351295,11840.5,20306201,7,212418.3,422433.0,457.1,5345.6,14923.9,42,1437628,77054978,disjoint,Immediate,357005,52,13312,0
csv,treatment,3,0,16000,1.278966,12510.1,21954956,7,212483.9,407984.5,562.0,4773.5,10633.0,54,1438280,77317122,disjoint,Immediate,365729,57,14592,0
csv,control,3,0,16000,8.650145,1849.7,3442574,40,85857.3,125132.4,82.6,92445.0,118758.4,0,1438280,230387632,disjoint,Immediate,132612,0,0,0
csv,control,4,0,16000,8.494027,1883.7,3325839,40,95003.4,132409.8,156.9,98112.6,132761.4,0,1438280,237966900,disjoint,Immediate,140695,0,0,0
csv,treatment,4,0,16000,1.642776,9739.6,44352571,9,208728.9,426400.5,527.4,7334.5,13983.8,29,1438280,101434436,disjoint,Immediate,385138,50,12800,0
csv,treatment,5,0,16000,1.729826,9249.5,33291545,9,205832.9,405931.9,516.8,7711.5,16243.1,34,1438280,97502276,disjoint,Immediate,364187,64,16384,0
csv,control,5,0,16000,7.584925,2109.4,3689842,40,94381.8,156503.1,74.6,94869.4,142995.5,0,1572836,236904011,disjoint,Immediate,145572,0,0,0
csv,control,6,0,16000,7.141276,2240.5,1643380,40,127696.8,198763.1,476.9,132190.0,180915.1,0,1571136,338980639,disjoint,Immediate,200988,0,0,0
csv,treatment,6,0,16000,1.294183,12363.0,21388907,7,217226.8,409374.1,482.5,5618.8,14250.6,85,1620880,77317122,disjoint,Immediate,370447,63,16128,0
csv,treatment,7,0,16000,1.260390,12694.5,20455823,6,228041.1,371727.3,489.9,5766.9,11016.8,75,1620880,65520609,disjoint,Immediate,341920,67,17152,0
csv,control,7,0,16000,7.129854,2244.1,3099971,40,107579.7,153440.6,444.9,113901.4,161798.2,0,1620880,292642825,disjoint,Immediate,179496,0,0,0
csv,control,8,0,16000,8.321032,1922.8,3201184,40,124388.9,178220.3,435.2,126516.9,167028.5,0,1793184,311248798,disjoint,Immediate,181840,0,0,0
csv,treatment,8,0,16000,1.333972,11994.3,20421461,7,200403.4,373509.9,550.0,6016.0,11253.0,62,1817008,74695682,disjoint,Immediate,340580,53,13568,0
csv,treatment,9,0,16000,1.071087,14938.1,16001601,6,201713.6,375318.3,527.1,3724.6,10159.8,36,1817008,66831329,disjoint,Immediate,345222,53,13568,0
