# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=0 variant=disjoint arm_select=Control eviction=true evict_real=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count,overlay_reclaimed_nodes,evict_bytes_nominal,faultin_count
csv,control,0,0,16000,9.136869,1751.1,15988,39,210960.8,384749.6,64.7,184255.1,343132.0,0,812464,485505882,disjoint,Immediate,384794,0,0,0
csv,control,1,0,16000,8.943216,1789.1,21872,37,217354.1,351580.2,61.5,186432.9,341141.4,0,1385464,479728233,disjoint,Immediate,388398,0,0,0
csv,control,2,0,16000,8.915010,1794.7,8000,38,211289.5,367534.5,60.9,185944.3,345908.2,0,1931960,484459863,disjoint,Immediate,384040,0,0,0
csv,control,3,0,16000,8.248724,1939.7,8000,35,211235.8,363679.5,61.0,176029.4,343744.2,0,2330636,443030903,disjoint,Immediate,387466,0,0,0
csv,control,4,0,16000,8.416960,1900.9,7998,37,203909.1,354899.9,59.4,163495.7,334464.7,0,2794972,458228403,disjoint,Immediate,389773,0,0,0
csv,control,5,0,16000,8.941410,1789.4,7994,39,206492.8,351320.7,60.3,184823.2,330793.1,0,2928964,497288968,disjoint,Immediate,389411,0,0,0
csv,control,6,0,16000,7.994641,2001.3,7999,35,204200.6,346693.5,59.4,163569.9,327327.2,0,2928964,436482535,disjoint,Immediate,385578,0,0,0
csv,control,7,0,16000,8.783292,1821.6,7805,39,202347.4,378645.9,61.9,176453.0,339756.0,0,2928964,488909376,disjoint,Immediate,386396,0,0,0
csv,control,8,0,16000,8.595888,1861.4,7992,37,209982.4,360781.3,59.8,177828.2,344736.8,0,2928964,477637501,disjoint,Immediate,386186,0,0,0
csv,control,9,0,16000,8.747797,1829.0,7997,38,207114.9,351199.4,59.7,181344.7,332938.3,0,2928964,480254265,disjoint,Immediate,387801,0,0,0
csv,control,10,0,16000,8.706091,1837.8,7997,39,199839.4,362368.1,61.3,200110.4,339087.9,0,2928964,487864848,disjoint,Immediate,384978,0,0,0
csv,control,11,0,16000,8.047654,1988.2,7991,35,205986.5,343113.4,58.9,159351.5,326714.2,0,2928964,440412351,disjoint,Immediate,386397,0,0,0
csv,control,12,0,16000,8.466080,1889.9,7995,36,212097.4,365777.2,58.6,171265.8,347290.8,0,3349016,456130736,disjoint,Immediate,389956,0,0,0
csv,control,13,0,16000,9.022292,1773.4,53996,40,202797.9,378669.3,61.8,184190.4,342198.8,0,3349016,499392001,disjoint,Immediate,387405,0,0,0
csv,control,14,0,16000,9.376758,1706.3,7991,39,218105.5,420854.2,61.3,184373.5,374298.8,0,3349016,495983400,disjoint,Immediate,387687,0,0,0
csv,control,15,0,16000,8.662194,1847.1,58000,37,210513.9,369619.6,59.4,182239.1,341471.3,0,3405388,450905494,disjoint,Immediate,383938,0,0,0
csv,control,16,0,16000,8.760591,1826.4,7715,39,202253.8,367177.0,60.7,179069.5,350551.1,0,3405388,489166069,disjoint,Immediate,388153,0,0,0
csv,control,17,0,16000,7.928463,2018.0,13998,36,196527.6,363671.8,59.7,164029.3,346565.7,0,3405388,443565175,disjoint,Immediate,384034,0,0,0
csv,control,18,0,16000,8.731115,1832.5,7995,37,213356.9,355537.4,59.3,187385.6,338423.5,0,3405388,475267696,disjoint,Immediate,389807,0,0,0
csv,control,19,0,16000,9.022050,1773.4,7963,40,203110.0,350040.8,60.1,174626.8,325924.8,0,3445648,494934377,disjoint,Immediate,387758,0,0,0
csv,control,20,0,16000,8.602109,1860.0,7990,38,202696.4,354211.9,61.2,172165.1,335743.1,0,3445648,471343116,disjoint,Immediate,387216,0,0,0
csv,control,21,0,16000,8.321388,1922.8,47993,38,205780.2,369930.2,60.8,172009.2,358432.6,0,3471144,481296448,disjoint,Immediate,389993,254,65024,0
csv,control,22,0,16000,8.879757,1801.9,7989,38,210756.6,350550.0,58.5,184368.6,340044.0,0,3471144,481575817,disjoint,Immediate,384204,0,0,0
csv,control,23,0,16000,8.184179,1955.0,7864,35,209476.1,351057.8,60.2,162983.6,347030.5,0,3471144,438060698,disjoint,Immediate,383822,0,0,0
csv,control,24,0,16000,8.703048,1838.4,7997,39,200468.6,363315.3,61.1,182367.5,356357.5,0,3471144,487597795,disjoint,Immediate,386657,0,0,0
csv,control,25,0,16000,8.958770,1786.0,7998,38,212815.1,350563.0,62.2,184710.3,331350.8,0,3471144,491001704,disjoint,Immediate,387933,0,0,0
csv,control,26,0,16000,8.732895,1832.2,7996,39,200454.4,363787.8,60.7,170958.6,338121.7,0,3471144,488119369,disjoint,Immediate,387582,0,0,0
csv,control,27,0,16000,8.667687,1845.9,7883,37,211418.7,356982.5,60.6,174952.8,340443.7,0,3471144,471602776,disjoint,Immediate,388096,0,0,0
csv,control,28,0,16000,8.360941,1913.7,7997,36,207840.2,359015.0,60.5,163889.0,339002.5,0,3471144,450901546,disjoint,Immediate,385355,0,0,0
csv,control,29,0,16000,8.894811,1798.8,8000,39,204893.6,376788.3,62.3,177688.2,346046.4,0,3471144,490218696,disjoint,Immediate,386860,0,0,0
# MEASURED RUN COMPLETE
