# lockfree_flip_benchmark MEASURED RUN  W=8 R=4 writes/round=2000 K=30 warmup=0 variant=disjoint arm_select=Treatment eviction=true evict_real=true
csv_header,arm,round,is_warmup,write_ops,elapsed_secs,write_ops_per_sec,read_ops,checkpoint_rounds,ckpt_pause_mean_us,ckpt_pause_p99_us,write_p50_us,write_p99_us,write_p999_us,cas_retries,peak_rss_kib,round_dir_bytes,variant,durability,evictable_node_count,overlay_reclaimed_nodes,evict_bytes_nominal,faultin_count
csv,treatment,0,0,16000,1.540753,10384.5,27133109,8,224526.3,437952.8,432.7,5575.8,14357.4,523,479812,88589347,disjoint,Immediate,378641,51,13056,0
csv,treatment,1,0,16000,1.236631,12938.4,20453973,7,218877.6,429403.1,342.5,4446.3,10254.9,589,734900,79938562,disjoint,Immediate,386116,57,14592,0
csv,treatment,2,0,16000,0.874013,18306.4,14648309,5,177252.0,323178.5,251.7,2566.4,7004.4,76,853028,52151232,disjoint,Immediate,305163,73,18688,0
csv,treatment,3,0,16000,0.979082,16341.8,16244244,5,177620.5,333132.1,289.8,2895.0,6219.3,167,853028,51626944,disjoint,Immediate,301132,0,0,0
csv,treatment,4,0,16000,1.029686,15538.7,19196951,6,203096.5,388682.5,308.9,3658.5,9835.5,141,942468,66569185,disjoint,Immediate,357121,63,16128,0
csv,treatment,5,0,16000,0.988574,16184.9,17278079,6,201713.0,382066.6,336.5,2011.4,8145.8,509,956232,68928481,disjoint,Immediate,370635,45,11520,0
csv,treatment,6,0,16000,0.882162,18137.2,15223564,5,172255.5,314292.3,290.0,2260.0,6015.0,225,998576,50840512,disjoint,Immediate,294780,66,16896,0
csv,treatment,7,0,16000,0.930490,17195.2,15277288,5,177234.9,334034.8,289.7,2715.0,7045.1,160,998576,51102656,disjoint,Immediate,294355,72,18432,0
csv,treatment,8,0,16000,1.063662,15042.4,30416243,6,190103.3,369020.4,261.3,4208.0,11399.3,100,998576,61588449,disjoint,Immediate,329914,48,12288,0
csv,treatment,9,0,16000,1.109687,14418.5,18745897,6,225051.3,434735.4,336.6,3524.6,9325.2,190,998576,68666337,disjoint,Immediate,360128,56,14336,0
csv,treatment,10,0,16000,0.923183,17331.3,15573384,6,203056.6,401608.3,279.7,2315.7,6072.3,215,998576,70239201,disjoint,Immediate,388102,56,14336,0
csv,treatment,11,0,16000,0.956879,16721.0,16140008,6,195423.2,376380.5,315.3,2488.2,9771.4,230,998576,67879905,disjoint,Immediate,367862,61,15616,0
csv,treatment,12,0,16000,0.934572,17120.1,16912494,5,167871.0,298824.9,262.9,2700.2,9491.3,114,998576,49791936,disjoint,Immediate,282784,0,0,0
csv,treatment,13,0,16000,0.869153,18408.7,13786304,5,172719.4,313300.2,279.2,2113.8,7128.6,212,998576,51626944,disjoint,Immediate,301159,73,18688,0
csv,treatment,14,0,16000,1.013259,15790.6,18623973,6,195568.1,377561.4,347.2,1859.5,7581.3,568,998576,66831329,disjoint,Immediate,353329,51,13056,0
csv,treatment,15,0,16000,0.938703,17044.8,15626330,6,197587.6,403197.4,326.3,2190.4,7543.4,330,998576,67617761,disjoint,Immediate,369677,58,14848,0
csv,treatment,16,0,16000,0.956279,16731.5,15772890,6,197541.7,383179.5,326.6,2490.6,8188.2,326,1018664,68666337,disjoint,Immediate,371968,48,12288,0
csv,treatment,17,0,16000,0.952052,16805.8,16728364,6,201591.6,390542.4,298.5,2516.8,6456.5,378,1018664,69714913,disjoint,Immediate,378867,51,13056,0
csv,treatment,18,0,16000,0.934946,17113.3,15339597,6,181970.5,367085.2,314.3,2430.6,10250.2,206,1018664,65258465,disjoint,Immediate,350658,59,15104,0
csv,treatment,19,0,16000,0.820519,19499.9,13636197,5,183627.8,336679.8,289.7,1963.3,5460.1,18,1018664,53986240,disjoint,Immediate,327423,53,13568,0
csv,treatment,20,0,16000,0.922059,17352.5,16017319,5,172395.6,305679.9,319.3,2009.0,5951.2,374,1018664,51102656,disjoint,Immediate,287724,60,15360,0
csv,treatment,21,0,16000,0.828864,19303.5,13859671,5,189620.2,351375.5,242.0,2326.1,6385.0,67,1018664,54248384,disjoint,Immediate,331475,60,15360,0
csv,treatment,22,0,16000,0.885638,18066.1,14879607,5,165655.5,297453.6,300.6,2089.6,5944.0,178,1018664,49791936,disjoint,Immediate,284335,70,17920,0
csv,treatment,23,0,16000,0.953389,16782.2,16280696,6,200386.4,387736.1,322.6,2142.6,10047.8,408,1018664,69452769,disjoint,Immediate,377659,56,14336,0
csv,treatment,24,0,16000,0.978258,16355.6,16781796,6,204114.8,391734.9,331.8,2216.4,7287.7,500,1018664,69977057,disjoint,Immediate,375392,50,12800,0
csv,treatment,25,0,16000,0.985818,16230.2,18239044,6,179653.8,353263.1,328.3,2530.3,8802.7,411,1018664,64209889,disjoint,Immediate,335816,51,13056,0
csv,treatment,26,0,16000,0.988369,16188.3,16231758,6,203083.5,392992.1,321.6,2574.9,10487.9,134,1018664,67355617,disjoint,Immediate,369804,55,14080,0
csv,treatment,27,0,16000,0.886618,18046.1,15533978,5,173295.9,310927.5,309.0,1903.1,6714.6,93,1018664,51626944,disjoint,Immediate,298967,72,18432,0
csv,treatment,28,0,16000,0.917992,17429.4,21950558,5,187426.0,323839.1,285.6,2676.2,9277.7,259,1018664,53986240,disjoint,Immediate,308877,63,16128,0
csv,treatment,29,0,16000,0.964541,16588.2,25979559,6,213071.4,443239.6,329.0,2081.6,10053.8,220,1018664,70239201,disjoint,Immediate,381844,62,15872,0
# MEASURED RUN COMPLETE
