# path	kind	pattern	count	contract
src/persistent_artrie/dict_impl.rs	unsafe_block	unsafe {	1	persistent-artrie-mmap-open
src/persistent_artrie/nodes/node16.rs	unsafe_block	unsafe {	1	byte-node16-prefix-copy
src/persistent_artrie_char/mod.rs	unsafe_impl	unsafe impl<V: DictionaryValue> Send for PersistentARTrieCharNode<V> {}	1	char-public-node-thread-contract
src/persistent_artrie_char/mod.rs	unsafe_impl	unsafe impl<V: DictionaryValue> Sync for PersistentARTrieCharNode<V> {}	1	char-public-node-thread-contract
src/persistent_artrie_char/nodes/node16_char.rs	unsafe_block	unsafe {	1	char-node16-prefix-copy
src/persistent_artrie_char/types.rs	unsafe_block	Some(unsafe { Box::from_raw(ptr as *mut CharTrieNodeInner<V>) })	1	char-child-box-reclaim
src/persistent_artrie_char/types.rs	unsafe_block	let child_ref = unsafe { &*p };	1	char-child-read-only-traversal
src/persistent_artrie_char/types.rs	unsafe_block	let child_ref = unsafe { &*ptr };	1	char-child-read-only-traversal
src/persistent_artrie_char/types.rs	unsafe_block	let old_child = unsafe { Box::from_raw(ptr as *mut CharTrieNodeInner<V>) };	1	char-child-box-replacement
src/persistent_artrie_char/types.rs	unsafe_block	unsafe {	2	char-child-raw-map-iteration
src/persistent_artrie_char/types.rs	unsafe_block	unsafe { &*ptr }	1	char-child-read-only-traversal
src/persistent_artrie_char/types.rs	unsafe_block	unsafe { &mut *(ptr as *mut CharTrieNodeInner<V>) }	1	char-child-unique-mutation
src/persistent_artrie_char/types.rs	unsafe_block	unsafe { &mut *ptr }	1	char-child-unique-mutation
src/persistent_artrie_core/block_storage.rs	unsafe_block	unsafe {	1	block-storage-default-fixed-buffer-registration
src/persistent_artrie_core/block_storage.rs	unsafe_fn	unsafe fn register_buffer_pool(&self, _buffers: &[(*mut u8, usize)]) -> Result<()> {	1	block-storage-fixed-buffer-registration-contract
src/persistent_artrie_core/buffer_manager.rs	unsafe_block	let fixed_buffers_registered = unsafe { storage.register_buffer_pool(&buffers).is_ok() }	2	buffer-manager-fixed-buffer-registration
src/persistent_artrie_core/buffer_manager.rs	unsafe_block	unsafe {	4	buffer-manager-aligned-buffer-ownership
src/persistent_artrie_core/buffer_manager.rs	unsafe_fn	unsafe fn register_buffer_pool(&self, buffers: &[(*mut u8, usize)]) -> Result<()> {	1	buffer-manager-test-fixed-buffer-registration
src/persistent_artrie_core/compact_encoding.rs	unsafe_block	unsafe { data.as_ptr().add(1).cast::<u64>().read_unaligned() }	1	compact-encoding-unaligned-read
